App ID,App Name,App Size,App Languages,App Category,App Age Rating,Recommended IDs,Parent ID
1552673366,"DinoConnect 2
 4+",26.3 MB,English,Photo & Video,4+,"[898718691, 918442624, 701290091, 792577826, 1605729220, 1621428062, 1629406651, 990501167]",[918442624]
1487751011,"Feiyu Cam
 4+",141.5 MB,"English, Czech, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",Photo & Video,4+,"[1131450408, 1170606381, 1568214103, 1327620365, 1131450409, 1468057679, 1523951807, 1441639746, 6443441166, 6443398815, 957334044, 1599659331, 1532572439]","[918442624, 1335052501, 1335052501]"
792577826,"ISM-PAD
 4+",2.1 MB,English,Photo & Video,4+,"[792577829, 701290091, 918442624, 1605729220, 1446207192, 1629406651, 1552673366]",[918442624]
701290091,"Hiview Plus
 4+",1.4 MB,English,Photo & Video,4+,"[701290094, 955713196, 918442624, 792577826, 1605729220, 1446207192, 1280211715, 1552673366]",[918442624]
1446207192,"mScopePal
 4+",1.1 MB,"English, Japanese",Photo & Video,4+,"[427443339, 1605729220, 701290091, 918442624, 792577826, 1524787428, 1189792719]",[918442624]
1524787428,"MicroREC App
 4+",144 MB,English,Photo & Video,4+,"[1524787430, 1440157273, 1605729220, 701290091, 1446207192, 918442624, 792577826]",[918442624]
1543367886,"microscope
 4+",25.5 MB,"English, French, German, Italian, Japanese, Simplified Chinese, Spanish",Photo & Video,4+,"[1074529589, 1373657943, 1074529590, 1577710133, 1568628889, 1512174846, 918442624, 1362944225, 6453639083, 1387778870, 1075246023, 1494448955]",[918442624]
1335052501,"Ai Scope
 4+",8.6 MB,English,Photo & Video,4+,"[1387388358, 1407706280, 1484428568, 1636236310, 6476429895, 1362944225, 1487751011, 6453639083, 918442624, 1560984586]","[918442624, 1636236310, 1484428568, 1636236310, 1560984586, 1407706280, 1636236310, 1407706280, 1484428568]"
1560984586,"Video Compressor - Shrink Vids
 4+",27.4 MB,"English, Portuguese, Simplified Chinese, Spanish",Photo & Video,4+,"[867175889, 6460934979, 1457115603, 1486681436, 1552382561, 1659688614, 1596786737, 1528281985, 997699744, 1135183644, 1520371417, 1131513826, 1536338554]","[1407706280, 1335052501, 1335052501]"
918442624,"DinoConnect
 4+",4.2 MB,English,Photo & Video,4+,"[898718691, 1552673366, 701290091, 792577826, 1605729220, 1543367886, 1446207192, 1524787428]","[1407706280, 1335052501, 1335052501]"
1605729220,"TopScope Pro
 4+",29.5 MB,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Photo & Video,4+,"[1600810531, 1446207192, 701290091, 918442624, 792577826, 1524787428, 1552673366]",[1407706280]
1116310723,"XJ_endoscope
 12+",41 MB,"English, French, German, Japanese, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,12+,"[1115496885, 1228996585, 1373182041, 1336911185, 1362944225, 1576458174, 1407706280, 990501167, 1093741394, 1209745044]",[1228996585]
1373182041,"ImageScope
 4+",60.4 MB,"English, Simplified Chinese",Utilities,4+,"[1115496885, 1228996585, 1116310723, 1336911185, 1424098478, 1358308969, 1419990267, 1507864560, 1279135611, 6449829210]",[1228996585]
1228996585,"wifiImage
 4+",65.4 MB,"English, French, German, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1115496885, 1116310723, 1373182041, 1336911185, 1209745044, 1407706280, 6453639083, 1486562403, 990501167, 1342541562]","[1228996585, 1209745044, 1407706280, 1407706280]"
1336911185,"CameraKit
 4+",70.3 MB,"English, French, German, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",Utilities,4+,"[1115496885, 1228996585, 1116310723, 1373182041, 1424098478, 1358308969, 1461657717, 1561145530, 1279135611, 824460716]",[1228996585]
